,Date,League,Home_Away,Name,Jersey_Num,Nationality,pos_left,pos_top,player_link
0,26.07.2020 10:00,Premier League - Round 38,h,Aubameyang P. (C),14,Gabon,120,62,/player/aubameyang-pierre-emerick/Wl4EyKZk/
1,26.07.2020 10:00,Premier League - Round 38,h,Ceballos D.,8,Spain,69,203,/player/ceballos-dani/zPYmze7F/
2,26.07.2020 10:00,Premier League - Round 38,h,Holding R.,16,England,18,184,/player/holding-rob/M71HrXch/
3,26.07.2020 10:00,Premier League - Round 38,h,Lacazette A.,9,France,18,184,/player/lacazette-alexandre/YegtWFr9/
4,26.07.2020 10:00,Premier League - Round 38,h,Luiz D.,23,Brazil,-28,142,/player/luiz-david/G04qmSno/
5,26.07.2020 10:00,Premier League - Round 38,h,Maitland-Niles A.,15,England,18,264,/player/maitland-niles-ainsley/CnBQp2sj/
6,26.07.2020 10:00,Premier League - Round 38,h,Martinez E. (G),26,Argentina,-28,142,/player/martinez-damian/ziCcc5jM/
7,26.07.2020 10:00,Premier League - Round 38,h,Pepe N.,19,Ivory Coast,120,222,/player/pepe-nicolas/j3Hk0qEj/
8,26.07.2020 10:00,Premier League - Round 38,h,Tierney K.,3,Scotland,18,21,/player/tierney-kieran/Qm0l3aod/
9,26.07.2020 10:00,Premier League - Round 38,h,Willock J.,28,England,120,142,/player/willock-joseph/j3oBtT40/
10,26.07.2020 10:00,Premier League - Round 38,h,Xhaka G.,34,Switzerland,69,82,/player/xhaka-granit/QBHCDKff/
11,26.07.2020 10:00,Premier League - Round 38,a,Dawson C.,4,England,402,183,/player/dawson-craig/Who0H1fJ/
12,26.07.2020 10:00,Premier League - Round 38,a,Deeney T. (C),9,England,246,142,/player/deeney-troy/lKqMZFOm/
13,26.07.2020 10:00,Premier League - Round 38,a,Doucoure A.,16,France,351,81,/player/doucoure-abdoulaye/nBkbBPnP/
14,26.07.2020 10:00,Premier League - Round 38,a,Foster B. (G),26,England,448,142,/player/foster-ben/hALmaisC/
15,26.07.2020 10:00,Premier League - Round 38,a,Hughes W.,19,England,351,202,/player/hughes-will/j1OKB8dN/
16,26.07.2020 10:00,Premier League - Round 38,a,Kabasele C.,27,Belgium,402,100,/player/kabasele-christian/42ADo7dd/
17,26.07.2020 10:00,Premier League - Round 38,a,Kiko,21,Spain,402,20,/player/kiko/ryjofHOu/
18,26.07.2020 10:00,Premier League - Round 38,a,Masina A.,11,Italy,402,263,/player/masina-adam/fsw4UmgM/
19,26.07.2020 10:00,Premier League - Round 38,a,Pereyra R.,37,Argentina,402,263,/player/pereyra-roberto/Qw0gHVLM/
20,26.07.2020 10:00,Premier League - Round 38,a,Sarr I.,23,Senegal,448,142,/player/sarr-ismaila/ll2uTDkB/
21,26.07.2020 10:00,Premier League - Round 38,a,Welbeck D.,10,England,300,142,/player/welbeck-danny/86PvpO11/
